name,jingweidu
上海市白渡路中华路东南约25米,"121.498807,31.220092"
上海市复兴中路进思南路东约30米,"121.482674,31.218478"
上海市西藏南路进高雄路北约50米,"121.481812,31.221244"
上海市中华路董家渡路东约0米,"121.497917,31.215382"
上海市复兴东路隧道北线下层,"121.508752,31.223985"
上海市浙江中路进延安东路北约30米,"121.481510,31.230287"
上海市徐家汇路进打浦路西约50米,"121.426597,31.188861"
上海市九江路河南中路西约30米,"121.485168,31.236656"
上海市丽水路人民路南约5米,"121.490844,31.229493"
上海市南仓街进陆家浜路南约30米,"121.499938,31.211260"
上海市六合路宁波路西南约15米,"121.474804,31.236325"
